"_id",class,day,hour,minute,tweetden
5a0e3d9134e4b81614f09138,M,Sun,H0,M0,0
5a0e3d9134e4b81614f09139,L,Sun,H0,M30,0
5a0e3d9134e4b81614f0913a,M,Sun,H1,M0,0
5a0e3d9134e4b81614f0913b,M,Sun,H1,M30,0
5a0e3d9134e4b81614f0913c,L,Sun,H2,M0,0
5a0e3d9134e4b81614f0913d,H,Sun,H2,M30,0
5a0e3d9134e4b81614f0913e,H,Sun,H3,M0,0
5a0e3d9134e4b81614f0913f,H,Sun,H3,M30,0
5a0e3d9134e4b81614f09140,M,Sun,H4,M0,0
5a0e3d9134e4b81614f09141,H,Sun,H4,M30,0
5a0e3d9134e4b81614f09142,M,Sun,H5,M0,0
5a0e3d9134e4b81614f09143,M,Sun,H5,M30,0
5a0e3d9134e4b81614f09144,M,Sun,H6,M0,0
5a0e3d9134e4b81614f09145,H,Sun,H6,M30,0
5a0e3d9134e4b81614f09146,H,Sun,H7,M0,0
5a0e3d9134e4b81614f09147,M,Sun,H7,M30,0
5a0e3d9134e4b81614f09148,M,Sun,H8,M0,0
5a0e3d9134e4b81614f09149,M,Sun,H8,M30,0
5a0e3d9134e4b81614f0914a,M,Sun,H9,M0,0
5a0e3d9134e4b81614f0914b,M,Sun,H9,M30,0
5a0e3d9134e4b81614f0914c,M,Sun,H10,M0,0
5a0e3d9134e4b81614f0914d,L,Sun,H10,M30,0
5a0e3d9134e4b81614f0914e,M,Sun,H11,M0,0
5a0e3d9134e4b81614f0914f,L,Sun,H11,M30,0
5a0e3d9134e4b81614f09150,M,Sun,H12,M0,0
5a0e3d9134e4b81614f09151,M,Sun,H12,M30,0
5a0e3d9134e4b81614f09152,L,Sun,H13,M0,0
5a0e3d9134e4b81614f09153,M,Sun,H13,M30,0
5a0e3d9134e4b81614f09154,M,Sun,H14,M0,0
5a0e3d9134e4b81614f09155,H,Sun,H14,M30,0
5a0e3d9134e4b81614f09156,M,Sun,H15,M0,0
5a0e3d9134e4b81614f09157,M,Sun,H15,M30,0
5a0e3d9134e4b81614f09158,L,Sun,H16,M0,0
5a0e3d9134e4b81614f09159,H,Sun,H16,M30,0
5a0e3d9134e4b81614f0915a,L,Sun,H17,M0,0
5a0e3d9134e4b81614f0915b,L,Sun,H17,M30,0
5a0e3d9134e4b81614f0915c,L,Sun,H18,M0,0
5a0e3d9134e4b81614f0915d,L,Sun,H18,M30,0
5a0e3d9134e4b81614f0915e,M,Sun,H19,M0,0
5a0e3d9134e4b81614f0915f,L,Sun,H19,M30,0
5a0e3d9134e4b81614f09160,L,Sun,H20,M0,0
5a0e3d9134e4b81614f09161,M,Sun,H20,M30,0
5a0e3d9134e4b81614f09162,M,Sun,H21,M0,0
5a0e3d9134e4b81614f09163,M,Sun,H21,M30,0
5a0e3d9134e4b81614f09164,M,Sun,H22,M0,0
5a0e3d9134e4b81614f09165,H,Sun,H22,M30,0
5a0e3d9134e4b81614f09166,M,Sun,H23,M0,0
5a0e3d9134e4b81614f09167,L,Sun,H23,M30,0
5a0e3d9134e4b81614f09168,H,Mon,H0,M0,0
5a0e3d9134e4b81614f09169,M,Mon,H0,M30,0
5a0e3d9134e4b81614f0916a,H,Mon,H1,M0,0
5a0e3d9134e4b81614f0916b,L,Mon,H1,M30,0
5a0e3d9134e4b81614f0916c,L,Mon,H2,M0,0
5a0e3d9134e4b81614f0916d,M,Mon,H2,M30,0
5a0e3d9134e4b81614f0916e,M,Mon,H3,M0,0
5a0e3d9134e4b81614f0916f,L,Mon,H3,M30,0
5a0e3d9134e4b81614f09170,M,Mon,H4,M0,0
5a0e3d9134e4b81614f09171,M,Mon,H4,M30,0
5a0e3d9134e4b81614f09172,L,Mon,H5,M0,0
5a0e3d9134e4b81614f09173,M,Mon,H5,M30,0
5a0e3d9134e4b81614f09174,M,Mon,H6,M0,0
5a0e3d9134e4b81614f09175,M,Mon,H6,M30,0
5a0e3d9134e4b81614f09176,H,Mon,H7,M0,0
5a0e3d9134e4b81614f09177,L,Mon,H7,M30,0
5a0e3d9134e4b81614f09178,H,Mon,H8,M0,0
5a0e3d9134e4b81614f09179,M,Mon,H8,M30,0
5a0e3d9134e4b81614f0917a,L,Mon,H9,M0,0
5a0e3d9134e4b81614f0917b,L,Mon,H9,M30,0
5a0e3d9134e4b81614f0917c,L,Mon,H10,M0,0
5a0e3d9134e4b81614f0917d,H,Mon,H10,M30,0
5a0e3d9134e4b81614f0917e,M,Mon,H11,M0,0
5a0e3d9134e4b81614f0917f,L,Mon,H11,M30,0
5a0e3d9134e4b81614f09180,L,Mon,H12,M0,0
5a0e3d9134e4b81614f09181,H,Mon,H12,M30,0
5a0e3d9134e4b81614f09182,H,Mon,H13,M0,0
5a0e3d9134e4b81614f09183,M,Mon,H13,M30,0
5a0e3d9134e4b81614f09184,M,Mon,H14,M0,0
5a0e3d9134e4b81614f09185,H,Mon,H14,M30,0
5a0e3d9134e4b81614f09186,M,Mon,H15,M0,0
5a0e3d9134e4b81614f09187,M,Mon,H15,M30,0
5a0e3d9134e4b81614f09188,M,Mon,H16,M0,0
5a0e3d9134e4b81614f09189,L,Mon,H16,M30,0
5a0e3d9134e4b81614f0918a,L,Mon,H17,M0,0
5a0e3d9134e4b81614f0918b,L,Mon,H17,M30,0
5a0e3d9134e4b81614f0918c,M,Mon,H18,M0,0
5a0e3d9134e4b81614f0918d,H,Mon,H18,M30,0
5a0e3d9134e4b81614f0918e,M,Mon,H19,M0,0
5a0e3d9134e4b81614f0918f,M,Mon,H19,M30,0
5a0e3d9134e4b81614f09190,M,Mon,H20,M0,0
5a0e3d9134e4b81614f09191,M,Mon,H20,M30,0
5a0e3d9134e4b81614f09192,L,Mon,H21,M0,0
5a0e3d9134e4b81614f09193,M,Mon,H21,M30,0
5a0e3d9134e4b81614f09194,H,Mon,H22,M0,0
5a0e3d9134e4b81614f09195,L,Mon,H22,M30,0
5a0e3d9134e4b81614f09196,M,Mon,H23,M0,0
5a0e3d9134e4b81614f09197,M,Mon,H23,M30,0
5a0e3d9134e4b81614f09198,M,Tue,H0,M0,0
5a0e3d9134e4b81614f09199,M,Tue,H0,M30,0
5a0e3d9134e4b81614f0919a,M,Tue,H1,M0,0
5a0e3d9134e4b81614f0919b,L,Tue,H1,M30,0
5a0e3d9134e4b81614f0919c,H,Tue,H2,M0,0
5a0e3d9134e4b81614f0919d,H,Tue,H2,M30,0
5a0e3d9134e4b81614f0919e,L,Tue,H3,M0,0
5a0e3d9134e4b81614f0919f,L,Tue,H3,M30,0
5a0e3d9134e4b81614f091a0,M,Tue,H4,M0,0
5a0e3d9134e4b81614f091a1,M,Tue,H4,M30,0
5a0e3d9134e4b81614f091a2,L,Tue,H5,M0,0
5a0e3d9134e4b81614f091a3,M,Tue,H5,M30,0
5a0e3d9134e4b81614f091a4,H,Tue,H6,M0,0
5a0e3d9134e4b81614f091a5,H,Tue,H6,M30,0
5a0e3d9134e4b81614f091a6,M,Tue,H7,M0,0
5a0e3d9134e4b81614f091a7,H,Tue,H7,M30,0
5a0e3d9134e4b81614f091a8,L,Tue,H8,M0,0
5a0e3d9134e4b81614f091a9,M,Tue,H8,M30,0
5a0e3d9134e4b81614f091aa,M,Tue,H9,M0,0
5a0e3d9134e4b81614f091ab,M,Tue,H9,M30,0
5a0e3d9134e4b81614f091ac,L,Tue,H10,M0,0
5a0e3d9134e4b81614f091ad,H,Tue,H10,M30,0
5a0e3d9134e4b81614f091ae,L,Tue,H11,M0,0
5a0e3d9134e4b81614f091af,L,Tue,H11,M30,0
5a0e3d9134e4b81614f091b0,M,Tue,H12,M0,0
5a0e3d9134e4b81614f091b1,H,Tue,H12,M30,0
5a0e3d9134e4b81614f091b2,H,Tue,H13,M0,0
5a0e3d9134e4b81614f091b3,M,Tue,H13,M30,0
5a0e3d9134e4b81614f091b4,M,Tue,H14,M0,0
5a0e3d9134e4b81614f091b5,M,Tue,H14,M30,0
5a0e3d9134e4b81614f091b6,M,Tue,H15,M0,0
5a0e3d9134e4b81614f091b7,H,Tue,H15,M30,0
5a0e3d9134e4b81614f091b8,H,Tue,H16,M0,0
5a0e3d9134e4b81614f091b9,L,Tue,H16,M30,0
5a0e3d9134e4b81614f091ba,M,Tue,H17,M0,0
5a0e3d9134e4b81614f091bb,L,Tue,H17,M30,0
5a0e3d9134e4b81614f091bc,M,Tue,H18,M0,0
5a0e3d9134e4b81614f091bd,L,Tue,H18,M30,0
5a0e3d9134e4b81614f091be,M,Tue,H19,M0,0
5a0e3d9134e4b81614f091bf,L,Tue,H19,M30,0
5a0e3d9134e4b81614f091c0,M,Tue,H20,M0,0
5a0e3d9134e4b81614f091c1,M,Tue,H20,M30,0
5a0e3d9134e4b81614f091c2,M,Tue,H21,M0,0
5a0e3d9134e4b81614f091c3,M,Tue,H21,M30,0
5a0e3d9134e4b81614f091c4,M,Tue,H22,M0,0
5a0e3d9134e4b81614f091c5,H,Tue,H22,M30,0
5a0e3d9134e4b81614f091c6,M,Tue,H23,M0,0
5a0e3d9134e4b81614f091c7,M,Tue,H23,M30,0
5a0e3d9134e4b81614f091c8,H,Wed,H0,M0,0
5a0e3d9134e4b81614f091c9,M,Wed,H0,M30,0
5a0e3d9134e4b81614f091ca,M,Wed,H1,M0,0
5a0e3d9134e4b81614f091cb,L,Wed,H1,M30,0
5a0e3d9134e4b81614f091cc,H,Wed,H2,M0,0
5a0e3d9134e4b81614f091cd,L,Wed,H2,M30,0
5a0e3d9134e4b81614f091ce,H,Wed,H3,M0,0
5a0e3d9134e4b81614f091cf,L,Wed,H3,M30,0
5a0e3d9134e4b81614f091d0,H,Wed,H4,M0,0
5a0e3d9134e4b81614f091d1,M,Wed,H4,M30,0
5a0e3d9134e4b81614f091d2,M,Wed,H5,M0,0
5a0e3d9134e4b81614f091d3,L,Wed,H5,M30,0
5a0e3d9134e4b81614f091d4,L,Wed,H6,M0,0
5a0e3d9134e4b81614f091d5,H,Wed,H6,M30,0
5a0e3d9134e4b81614f091d6,M,Wed,H7,M0,0
5a0e3d9134e4b81614f091d7,L,Wed,H7,M30,0
5a0e3d9134e4b81614f091d8,M,Wed,H8,M0,0
5a0e3d9134e4b81614f091d9,M,Wed,H8,M30,0
5a0e3d9134e4b81614f091da,L,Wed,H9,M0,0
5a0e3d9134e4b81614f091db,M,Wed,H9,M30,0
5a0e3d9134e4b81614f091dc,L,Wed,H10,M0,0
5a0e3d9134e4b81614f091dd,L,Wed,H10,M30,0
5a0e3d9134e4b81614f091de,M,Wed,H11,M0,0
5a0e3d9134e4b81614f091df,M,Wed,H11,M30,0
5a0e3d9134e4b81614f091e0,H,Wed,H12,M0,0
5a0e3d9134e4b81614f091e1,H,Wed,H12,M30,0
5a0e3d9134e4b81614f091e2,L,Wed,H13,M0,0
5a0e3d9134e4b81614f091e3,H,Wed,H13,M30,0
5a0e3d9134e4b81614f091e4,L,Wed,H14,M0,0
5a0e3d9134e4b81614f091e5,M,Wed,H14,M30,0
5a0e3d9134e4b81614f091e6,M,Wed,H15,M0,0
5a0e3d9134e4b81614f091e7,M,Wed,H15,M30,0
5a0e3d9134e4b81614f091e8,L,Wed,H16,M0,0
5a0e3d9134e4b81614f091e9,H,Wed,H16,M30,0
5a0e3d9134e4b81614f091ea,M,Wed,H17,M0,0
5a0e3d9134e4b81614f091eb,M,Wed,H17,M30,0
5a0e3d9134e4b81614f091ec,L,Wed,H18,M0,0
5a0e3d9134e4b81614f091ed,L,Wed,H18,M30,0
5a0e3d9134e4b81614f091ee,M,Wed,H19,M0,0
5a0e3d9134e4b81614f091ef,M,Wed,H19,M30,0
5a0e3d9134e4b81614f091f0,H,Wed,H20,M0,0
5a0e3d9134e4b81614f091f1,M,Wed,H20,M30,0
5a0e3d9134e4b81614f091f2,L,Wed,H21,M0,0
5a0e3d9134e4b81614f091f3,M,Wed,H21,M30,0
5a0e3d9134e4b81614f091f4,M,Wed,H22,M0,0
5a0e3d9134e4b81614f091f5,M,Wed,H22,M30,0
5a0e3d9134e4b81614f091f6,M,Wed,H23,M0,0
5a0e3d9134e4b81614f091f7,M,Wed,H23,M30,0
5a0e3d9134e4b81614f091f8,H,Thu,H0,M0,0
5a0e3d9134e4b81614f091f9,L,Thu,H0,M30,0
5a0e3d9134e4b81614f091fa,M,Thu,H1,M0,0
5a0e3d9134e4b81614f091fb,H,Thu,H1,M30,0
